Comment,Designator,Footprint,LCSC Part #
100nF 50V X7R 0805,C100,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1uF 25V X5R 0805,C101,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100kOhm 0805 1%,"R102,RP1,RP2,RP3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100Ohm 0805 1%,"RG1,RG2,RG3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10kOhm 0805 1%,"R11,R12,R104,R105",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
220uF 35V Elko radial D8 RM3.5,C12,CP_Radial_D8.0mm_P3.50mm,
SMCJ30A TVS unidirektional DO-214AB,D10,D_SMC,
SS36 Schottky 60V 3A DO-214AB (SMC),"D1,D2,D3",D_SMC,
IRFR5305 P-MOSFET -55V TO-252,Q10,TO-252-3_TabPin2,
NCE6050KA N-MOSFET 60V TO-252,"Q1,Q2,Q3",TO-252-3_TabPin2,C96013
"PT 1,5/2-3,5-H Klemme 3.5mm 2P 13.5A","J5,J6,J7","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",
SN74LVC1G08DCKR AND SC-70-5,U103,SOT-353_SC-70-5,
SN74LVC1G175DCKR D-Flipflop SC-70-6,U101,SOT-363_SC-70-6,
SN74LVC2G00DCUR Dual-NAND VSSOP-8,U102,VSSOP-8_2.3x2mm_P0.5mm,
STM32C011F6P6 MCU TSSOP-20,U100,TSSOP-20_4.4x6.5mm_P0.65mm,
680Ohm 0805 1% (Kennwiderstand ID0),R100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
680Ohm 0805 1% (Kennwiderstand ID1),R101,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
