Designator,Mid X,Mid Y,Layer,Rotation
C100,6.8800mm,-28.0800mm,Top,0
C101,6.8800mm,-25.1800mm,Top,0
C12,53.2525mm,-33.7512mm,Top,0
D1,18.6000mm,-32.5500mm,Top,0
D10,29.1000mm,-25.1500mm,Top,0
J5,12.0000mm,-53.6000mm,Top,0
Q1,8.0900mm,-40.0000mm,Top,0
Q10,51.3900mm,-25.0000mm,Top,0
R100,6.8500mm,-30.9500mm,Top,0
R101,11.1500mm,-30.9500mm,Top,0
R102,11.2500mm,-25.1500mm,Top,0
R104,6.8500mm,-33.8500mm,Top,0
R105,11.1500mm,-33.8500mm,Top,0
R11,45.8500mm,-16.4500mm,Top,0
R12,50.5500mm,-16.4500mm,Top,0
RG1,25.8500mm,-16.4500mm,Top,0
RP1,25.8500mm,-19.5500mm,Top,0
U100,18.8500mm,-20.0000mm,Top,0
U101,6.4500mm,-22.1000mm,Top,0
U102,17.2800mm,-25.7500mm,Top,0
U103,22.0500mm,-25.6000mm,Top,0
